recipe_name,ingredients,Cuisine,URL,image-url
Whole Wheat Spinach And Tofu Paratha Recipe,3-1/2 cups whole wheat flour sunflower oil - to smear 1/2 lemon - juiced 3 tablespoons dill leaves - finely chopped 1-1/2 cups spinach leaves (palak) - pureed 1 teaspoon green chilli paste 3 tablespoon sesame seeds (til seeds) salt - to taste 1/2 teaspoon garam masala powder 1 teaspoon ajwain (carom seeds) 200 grams tofu - grated 1 teaspoon cumin powder (jeera) - (roast & ground) 1/2 cup curd (dahi / yogurt) 1/2 teaspoon red chilli powder 1 teaspoon kasuri methi (dried fenugreek leaves),North Indian Recipes,https://www.archanaskitchen.com/whole-wheat-spinach-and-tofu-paratha-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Farrukh_Aziz_Ansari/Whole_Wheat_Spinach_and_Tofu_Paratha_Recipe-1.jpg
Nariyal Ki Kheer Recipe - Coconut Pudding,1 tablespoon whole cashews - chopped saffron strands - a pinch 3/4 cup sugar - adjustable 1 fresh coconut - grated 1 tablespoon badam (almond) - chopped 1/2 teaspoon cardamom powder (elaichi) 1 tablespoon pistachios - chopped 1 liter milk,Indian,https://www.archanaskitchen.com/nariyal-ki-kheer-recipe-coconut-pudding,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/aarti/Nariyal_Ki_Kheer_edited1.jpg
Onion Tomato Podi Masala Dosa Recipe,1/2 teaspoon mustard seeds 2 potatoes (aloo) - boiled and mashed 1 tomato - grated 2 green chillies - slit salt - as needed 1 onion - finely chopped 1 cup potato masala 5 curry leaves 1 tablespoon sunflower oil 4 tablespoons idli dosa podi (milagai powder) 1/4 teaspoon turmeric powder (haldi) 1 inch ginger - finely chopped 2 cups idli dosa batter 1/2 teaspoon cumin seeds (jeera) 1 onion - thinly sliced,South Indian Recipes,https://www.archanaskitchen.com/onion-tomato-podi-masala-dosa-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Divya_Shivaraman_/Onion_Tomato_Podi_Masala_Dosa.jpg
Bloomed Potato Cheesy Muffins Recipe,1 cup all purpose flour (maida) salt - to taste 100 grams mozzarella cheese 1 teaspoon rosemary 1/2 cup coriander (dhania) leaves - finely chopped 1/4 cup water 8 potatoes (aloo) - boiled 1 teaspoon sunflower oil 2 teaspoons butter 1 teaspoon dried basil leaves 1 teaspoon black pepper powder 1 teaspoon dried oregano,Indian,https://www.archanaskitchen.com/bloomed-potato-cheesy-muffins-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Anuja/Potato_cheesy_muffins.jpg
Brinjal Capsicum Sabji Recipe,1 tablespoon red chilli powder coriander (dhania) leaves - chopped 1 green bell pepper (capsicum) - diced 1/2 tablespoon coriander powder (dhania) salt - to taste 1/2 tablespoon garam masala powder 1/2 tablespoon asafoetida (hing) 5 garlic - chopped finely 1 tablespoon turmeric powder (haldi) 2 green chillies - chopped 1 tomato - chopped sunflower oil - as required 2 brinjal (baingan / eggplant) - diced (long variety),Indian,https://www.archanaskitchen.com/brinjal-capsicum-sabji-recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/23-may/Brinjal_Capsicum_Sabji_Recipe-3.jpg
Zucchini Paratha Recipe,water - for kneading ghee - for roasting salt - to taste 1 teaspoon ajwain (carom seeds) 1/4 teaspoon cumin powder (jeera) 1 cup green zucchini - grated 2-1/2 cups whole wheat flour 1/4 teaspoon amchur (dry mango powder) 1/4 teaspoon turmeric powder (haldi) 2 teaspoons red chilli powder,Indian,https://www.archanaskitchen.com/zucchini-paratha-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Yeleena/zucchini-paratha-recipe.jpg
Raw Banana Tikkis Recipe,1 tablespoon coriander powder (dhania) 6 whole cashews 4 raw banana 1 teaspoon cumin seeds (jeera) 2 green chillies - finely chopped 1 onion - finely chopped 1/4 teaspoon clove powder (laung) 2 tablespoons lemon juice 2 tablespoons gram flour (besan) 2 tablespoons ghee 1/4 teaspoon cardamom powder (elaichi) 5 dates 1 inch ginger - finely chopped 1 teaspoon amchur (dry mango powder) 1/4 teaspoon cinnamon powder (dalchini),Indian,https://www.archanaskitchen.com/raw-banana-tikkis-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/hema/Raw_Banana_Kebabs.jpg
Papad Raita Recipe,1/2 teaspoon cumin powder (jeera) 2 sprig coriander (dhania) leaves - finely chopped 2 to 3 papad - masala preferably rock salt - to taste 500 ml curd (dahi / yogurt) - well beaten 1/2 teaspoon paprika powder,Indian,https://www.archanaskitchen.com/papad-raita-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Papad_Raita_Recipe.jpg
Raw Jackfruit Poriyal Recipe - South Indian Raw Jackfruit Stir Fry,1 teaspoon white urad dal (split) 1/2 teaspoon turmeric powder (haldi) 1 teaspoon black pepper powder 2 sprig curry leaves 2 tablespoons fresh coconut - grated salt - to taste 1 teaspoon lemon juice 1 teaspoon mustard seeds 2 green chillies - slit 1 teaspoon chana dal (bengal gram dal) 1 cup jackfruit raw (kathal) - raw and diced 1 pinch asafoetida (hing),South Indian Recipes,https://www.archanaskitchen.com/raw-jackfruit-poriyal-recipe-south-indian-style-stir-fry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Raw_Jackfruit_Poriyal_Recipe.jpg
Grain Free Chocolate Porridge Recipe,salt - as required 1 tablespoon coconut milk - for garnishing 1 tablespoon date syrup 1 dried figs - chopped 1 teaspoon vanilla extract 1 tablespoon pistachios - sliced 3 strawberries - sliced 1-1/2 cups cauliflower (gobi) - cut into florets 3 teaspoons cocoa powder 1 tablespoon walnuts - chopped 1 cup coconut milk 1/4 teaspoon cinnamon powder (dalchini),Indian,https://www.archanaskitchen.com/grain-free-chocolate-porridge-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Gauravi_Vinay/Grain_free_Chocolate_porridge_bowl.jpg
Beetroot Chicken Cutlets Recipe,1 potato (aloo) - boiled 1 teaspoon garam masala powder salt - to taste 1-1/2 teaspoon cumin seeds (jeera) 1 teaspoon red chilli powder 1 beetroot - boiled 2 green chillies - finely chopped 1-1/2 teaspoon ginger garlic paste 500 grams boneless chicken 1 teaspoon whole black peppercorns - pounded 1 cup whole wheat bread crumbs coriander (dhania) leaves - a handful curry leaves - a handful sunflower oil - to shallow fry,Indian,https://www.archanaskitchen.com/beetroot-chicken-cutlets-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/roopakamath1997-gmail.com/BeetrootChicken_Cutlets___original1_edited.jpg
Dhaba Style Dal Palak Recipe,1 cup arhar dal (split toor dal) - washed salt - to taste 1 tomato - finely chopped 1 teaspoon cumin seeds (jeera) 4 cloves garlic - finely chopped 2 green chillies - slit 1/2 teaspoon garam masala powder 1 onion - finely chopped 2 cups spinach leaves (palak) - finely chopped 2 inch ginger - finely chopped 2 dry red chillies 1 tablespoon sunflower oil 1 tablespoon ghee 1/4 teaspoon turmeric powder (haldi) 1 lemon - juice extracted 2 cloves garlic - sliced thin,North Indian Recipes,https://www.archanaskitchen.com/dhaba-style-dal-palak-recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Dhaba_Style_Dal_Palak_Recipe_1_1600.jpg
Curd Rice Style Overnight Oats Recipe,2 tablespoons coriander (dhania) leaves - finely chopped 1/2 teaspoon mustard seeds 8 whole black peppercorns 6 to 8 curry leaves salt - to taste 1/4 teaspoon cumin seeds (jeera) 1/4 cup milk 1/2 teaspoon white urad dal (split) 6 to 8 cashew nuts - chopped 1 teaspoon chana dal (bengal gram dal) 1 green chilli - slit pinch asafoetida (hing) 1 fresh red chilli 1 cup instant oats (oatmeal) - quick or rolled 3/4+1/4 hung curd (greek yogurt) 1/2 teaspoon ginger - grated sunflower oil - as needed 2 tablespoons onion - finely chopped (optional),Indian,https://www.archanaskitchen.com/curd-rice-style-overnight-oats-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Gauravi_Vinay/Curd_rice_style_Overnight_Oats.jpg
Hibiscus (Chembaruthi) Neer Dosa Recipe,sunflower oil - for making dosa salt and pepper - to taste 1 cup dosa rice 100 grams white hibiscus leaves - cleaned and chopped 2 cups water,South Indian Recipes,https://www.archanaskitchen.com/hibiscus-chembaruthi-neer-dosa-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/thelifeinspire-gmail.com/Healthy_and_tasty_Hibiscus_Dosa.jpg
Kollu Vada Kurma Recipe (Horse Gram Fritters Spicy & Tangy Curry),1 teaspoon coriander powder (dhania) 2 onions - finely chopped 1 onion - finely chopped 2 tablespoon poppy seeds - soaked in hot water 1/4 cup fresh coconut - grated 2 tomatoes - finely chopped 3 cloves garlic sunflower oil - as required salt - to taste 1 inch ginger - grated 2 cardamom (elaichi) pods/seeds 2 bay leaves (tej patta) 1 sprig curry leaves - finely chopped 1 inch ginger - finely chopped 5 cashew nuts 3 sprig mint leaves (pudina) - roughly chopped 1 teaspoon fennel seeds (saunf) - coarsely pounded 2 cloves (laung) 1/2 teaspoon red chilli powder 1/2 teaspoon turmeric powder (haldi) 2 cups horse gram dal (kollu/ kulith) 1 inch cinnamon stick (dalchini) 2 green chillies - finely chopped 1 teaspoon fennel seeds (saunf),South Indian Recipes,https://www.archanaskitchen.com/kollu-vada-kurma-recipe-horse-gram-fritters-spicy-tangy-curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Priya__Suresh/Kollu_Vada_Kurma_Recipe_Horse_Gram_Fritters_Spicy_and_Tangy_Curry-1.jpg
Mosaru Kodubale Recipe - Yogurt-Rice Flour Fritters,1 cup fresh coconut - grated sunflower oil - for deep frying 2 teaspoons cumin seeds (jeera) salt - to taste 1/2 cup water 1 teaspoon green chillies - paste 1 cup rice flour pinch asafoetida (hing) 1 cup hung curd (greek yogurt),South Indian Recipes,https://www.archanaskitchen.com/mosaru-kodubale-recipe-yogurt-rice-flour-fritters,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Gauravi_Vinay/Mosaru_Kodubale_yogurtrice_flour_rings.jpg
 Amritsari Ajwaini Paneer (Recipe In Hindi), 1 green chili  1 onion - finely chopped  1/2 teaspoon sugar  2 cloves garlic  1 teaspoon turmeric powder  1 tablespoon oil  coriander - chopped  1 cup tomato puree 1 cup cup cheese  1-1 / 2 teaspoon coriander powder  1 teaspoon celery  2 long  salt  1 inch ginger  5 cashews  1 teaspoon garam masala powder  1/2 teaspoon red chilli powder,North Indian Recipes,https://www.archanaskitchen.com/amritsari-ajwaini-paneer-recipe-in-hindi,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Gravy/Ajwaini_Paneer_Recipe-2.jpg
Sugarpare Recipe (Shankarpali),1/4 cup ghee sunflower oil - for deep frying 2-1/2 cup vivatta maida - or use whole wheat flour 1 teaspoon cinnamon powder (dalchini) 4 tablespoons sugar - powdered 1 cup water 1/4 cup sugar 1/4 teaspoon salt - to taste,North Indian Recipes,https://www.archanaskitchen.com/shakkarpara-shankarpali-recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Shakkar_para_recipe_1-2_1600.jpg
 Masoor Moong Phali Ki Dal Recipe, 1 inch cinnamon - chopped  coriander leaves - little  1 tsp lemon juice  1 onion - finely chopped  1 tsp turmeric powder  1 tsp garam masala powder  1/2 cup peanuts  1 bay leaf - break take 3/4 cup masoor dal (split)  salt - as per taste  1/2 tsp cumin seeds  2 green chillies - straight cut  1 inch ginger - grated  1 tomato - finely chopped  1 tsp ghee,North Indian Recipes,https://www.archanaskitchen.com/masoor-moong-phali-ki-dal-recipe-masoor-dal-with-peanuts-recipe-in-hindi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Masoor_Moong_Phali_Ki_Dal_Recipe_Masoor_Dal_With_Peanuts_Recipe.jpg
Black Cherry Glazed Thandai Burfi Recipe,500 gram bottle gourd (lauki) - grated 1 tablespoon cashew nuts - chopped 100 gram sugar 120 gram khoya (mawa) 1/2 teaspoon cardamom powder (elaichi) green food colour - a pinch (optional) 1/2 cup cherry preserve /jam - for glazing 1-1/2 tablespoon ghee 1-1/2 tablespoons thandai masala 1 tablespoon badam (almond),Indian,https://www.archanaskitchen.com/black-cherry-glazed-thandai-burfi-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Black_Cherry_Glazed_Thandai_Burfi.jpg
Peanut Curry Recipe,3 green chillies salt - to taste 2 tablespoon ghee 1 teaspoon cumin seeds (jeera) 1 teaspoon red chilli powder 4 tablespoon fresh coconut - grated 2 cups raw peanuts (moongphali) water - as needed 3 tablespoons jaggery - grated 2 cloves (laung) 1 sprig curry leaves 4 kokum (malabar tamarind),Indian,https://www.archanaskitchen.com/peanut-curry-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Peanut_Curry.jpg
 Bhindi Raita (Recipe In Hindi), 2 tablespoons oil  1/2 tablespoon peanut powder - roast  1/2 teaspoon chaat masala powder 250 grams okra - cleaned  3/4 cup hung-fat  1/2 teaspoon mustard  1/4 teaspoon asafoetida  1 teaspoon sugar  salt - as per taste  1/2 teaspoon cumin seeds  2 teaspoons red chilli powder,Indian,https://www.archanaskitchen.com/bhindi-raita-recipe-in-hindi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Bhindi_Raita_Okra_Salad.jpg
Semolina Vegetable Chilla Recipe,1-1/2 cup sooji (semolina/ rava) 1 cup curd (dahi / yogurt) 1/4 cup green bell pepper (capsicum) - grated 1/4 cup carrot (gajjar) - grated coriander (dhania) leaves - few (chopped) salt - to taste 1/2 cup water 1 tomato - finely chopped 1/2 cup whole wheat flour 1/2 teaspoon black pepper powder 2 green chillies - finely chopped 1 onion - finely chopped 1 teaspoon extra virgin olive oil 1/4 cup cabbage (patta gobi/ muttaikose) - grated 1/4 cup raw papaya - grated,Indian,https://www.archanaskitchen.com/semolina-vegetable-chila-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/iti.archana13-gmail.com/SEMOLINA_VEGETABLE_CHILA_.jpg
Methi And Palak Paratha Recipe,1/2 teaspoon turmeric powder (haldi) 1 teaspoon cumin powder (jeera) 4 cloves garlic - grated salt - to taste 1/2 teaspoon coriander powder (dhania) 1 teaspoon cumin seeds (jeera) 1 teaspoon red chilli powder 1/2 teaspoon chaat masala powder 1 onion - finely chopped water - to bind the dough 2 cups whole wheat flour 2 tablespoons sunflower oil methi leaves (fenugreek leaves) - a bunch spinach leaves (palak) - roughly chopped,Indian,https://www.archanaskitchen.com/methi-and-palak-parathas-recipe,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breads/Methi_and_Palak_Parathas_Recipe_Spinach_Fenugreek_Leaves.jpg
Shakarkandi Malpua Recipe - Mishti Aloo Malpua Recipe,1 cup milk powder 2 tablespoon sooji (semolina/ rava) 1 tablespoon sugar 2 sweet potatoes - boiled 1 cup sugar 1 teaspoon rose water sunflower oil - or ghee 1 teaspoon fennel seeds (saunf) 1/2 cup all purpose flour (maida) 1 teaspoon cardamom powder (elaichi) 1 cup water pistachios - chopped,North Indian Recipes,https://www.archanaskitchen.com/shakarkandi-malpua-recipe-sweet-potato-malpua,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/usashis-gmail.com/Misti_Alur_Malpua_Malpua_with_sweet_potato.jpg
Raab Recipe - Immunity Building Home Remedy Made From Millet Flour,1 tablespoons whole wheat flour 1/4 teaspoon dry ginger powder - or freshly ground ginger 1/4 cup jaggery - crumbled 2 tablespoons bajra flour ( pearl millet) 1 teaspoon whole black peppercorns - pounded 1/2 teaspoon ajwain (carom seeds) - or cumin seeds 2 teaspoons ghee,Indian,https://www.archanaskitchen.com/raab-recipe-a-healthy-drink-made-from-millet-flour,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Beverages/Raab_Herbal_Wheat_Soup_with_Ajwain_Black_Pepper_and_Ghee-1.jpg
 Tawa Paneer Masala (Recipe In Hindi), 1/2 teaspoon garam masala powder  1/2 teaspoon teaspoon celery  1 teaspoon red chilli powder  1 teaspoon coriander powder  1 teaspoon green chilli - finely chopped 3 cups paneer - cut into pieces  1 cup tomato puree  1/2 teaspoon royal cumin - compress  1/2 teaspoon cumin seeds  2 tablespoons cream  1 teaspoon kasuri methi  1/4 teaspoon turmeric powder  2 teaspoons garlic - make a paste  oil - as per use  1/2 cup onion - finely chopped  salt - as per taste,North Indian Recipes,https://www.archanaskitchen.com/tawa-paneer-masala-recipe-in-hindi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Karthika_Gopalakrishnan/Tawa_Paneer_Masala_recipe.jpg
Ribbon Pakoda Recipe - South Indian Tea Time Snack,1/2 teaspoon turmeric powder (haldi) sunflower oil - for deep frying 1 teaspoon cumin powder (jeera) salt - to taste 1 teaspoon red chilli powder 1 cup rice flour 2 cups gram flour (besan) water - as needed 1/4 cup butter 1/2 teaspoon asafoetida (hing) 1/4 cup urad dal flour,Indian,https://www.archanaskitchen.com/ribbon-pakoda-recipe-south-indian-tea-time-snack,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Tea_Time_Snacks/Ribbon_Pakora.jpg
Cheesy Veg Paniyaram Recipe With Cheesy Tomato Chutney,2 cups bajra dosa batter 1 carrot (gajjar) - grated 1 green chilli 3 teaspoons salt salt - to taste 2 cups white urad dal (whole) 3 tomatoes - finely chopped 1 tablespoon methi seeds (fenugreek seeds) 2 cups bajra (seeds) 1 onion - finely chopped 1 beetroot - small 1/2 teaspoon red chilli powder 3 cloves garlic 2 tablespoons britannia cheese spread - classic 1 cup idli rice 6 britannia cheese cubes - grated sunflower oil - as required,South Indian Recipes,https://www.archanaskitchen.com/cheesy-veg-paniyaram-recipe-with-cheesy-tomato-chutney,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Cheesy_Veg_Paniyaram_recipe_Britannia_Cheesy_Kitchen_Videos_4_1600.jpg
Aloo Matar Korma Recipe In White Gravy,2 green chillies 1 cup green peas (matar) - boiled 1 teaspoon garam masala powder salt - to taste 2 cardamom (elaichi) pods/seeds 2 tablespoons cashew nuts 1 inch ginger 500 grams baby potatoes - boiled 1/4 cup fresh cream 1 onion - roughly chopped 1 tablespoon ghee 1 bay leaf (tej patta) 2 tablespoons curd (dahi / yogurt) 4 cloves (laung),North Indian Recipes,https://www.archanaskitchen.com/aloo-matar-korma-recipe-in-white-gravy,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Aloo_Matar_Korma_Recipe_In_White_Gravy.jpg
Party Sev Puri Recipe Filled With Potato & Pomegranate Mint Mayo,1 green chilli - finely chopped sev - finer one 1 lemon - squeezed 3 tablespoons del monte mint mayo 25 papdi puris black salt (kala namak) - to taste 1 onion - finely chopped 1/2 cup anardana powder (pomegranate seed powder) 1/2 cup coriander (dhania) leaves - finely chopped 2 potatoes (aloo) - boiled,North Indian Recipes,https://www.archanaskitchen.com/party-sev-puri-recipe-filled-with-potato-pomegranate-mint-mayo,https://www.archanaskitchen.com/images/archanaskitchen/10-Brands/Del_Monte_Mayo/Potato-Pomegranate-Mint-Mayo-Sev-Puri2.jpg
Potato And Cauliflower In Peanut Curry Recipe,1 tablespoon red chilli powder 1/2 teaspoon cumin powder (jeera) 1 tablespoon coriander powder (dhania) 1/2 teaspoon turmeric powder (haldi) salt - to taste 3 potatoes (aloo) - diced 2 tablespoons curd (dahi / yogurt) - (optional) 1 teaspoon mustard seeds 1/2 cup gram flour (besan) 1/2 teaspoon garam masala powder 2 tablespoons coriander (dhania) leaves - chopped 1 green chilli - chopped 1/2 cup raw peanuts (moongphali) - husked 3 tomatoes - pureed 1 tablespoon ginger - made into paste 1 bay leaf (tej patta) sunflower oil - as needed 2 cups cauliflower (gobi) - florets,Indian,https://www.archanaskitchen.com/potato-cauliflower-in-peanut-curry-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/shaheen_ali/No_Onion_No_Garlic_Cauliflower_Peanut_Curry.jpg
Verusenaga Sambar Recipe (Fresh Groundnuts Sambar),1 tablespoon sambar powder 1 teaspoon mustard seeds 1 onion - medium sized 2 dry red chillies 2 tablespoon tamarind paste 2 cups roasted peanuts (moongphali) - peeled 2 tablespoons sunflower oil 4 sprig coriander (dhania) leaves - finely chopped 1-1/2 teaspoon cumin seeds (jeera) 1 tomato - chopped 1 sprig curry leaves,South Indian Recipes,https://www.archanaskitchen.com/verusenaga-sambar-recipe-fresh-groundnuts-sambar,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Verusenaga_Sambar.jpg
